scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張),is_profitable_5d,is_clean_win_5d
2026-07-30,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100.0,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.46,done,signal_tracking_20260806.csv,12.0,-1.45,-3.61,-2.65,-0.24,-5.3,-0.24,-5.3,0.0,-3.13,,0.24,-5.3,,,0.0,0.0
2026-07-30,1808.TW,潤隆,32.45,即將黃金交叉,59.0,C觀察,2.1,>MA5,糾結,63.2,64.4,74.2,66.2,0.0378,-,-,done,signal_tracking_20260806.csv,12.0,0.0,-1.85,2.0,4.31,-2.47,4.31,-2.47,0.0,1.69,,4.31,-2.47,,,0.0,0.0
2026-07-30,1907.TW,永豐餘,28.45,黃金交叉,69.0,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,done,signal_tracking_20260806.csv,12.0,3.69,6.68,5.1,7.21,0.18,10.02,0.18,1.0,2.11,,10.02,-0.7,,,1.0,1.0
2026-07-30,2002.TW,中鋼,18.95,週黃金交叉,63.0,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,done,signal_tracking_20260806.csv,12.0,-0.53,0.26,1.32,1.58,-1.58,5.01,-1.58,0.0,0.0,,5.01,-1.58,,,1.0,0.0
2026-07-30,2025.TW,千興,12.45,趨勢突破,87.0,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.84,done,signal_tracking_20260806.csv,12.0,-3.21,-3.21,2.01,-0.8,-5.62,4.02,-5.62,0.0,-2.41,,4.02,-5.62,,,0.0,0.0
2026-07-30,2027.TW,大成鋼,43.25,週黃金交叉,68.0,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,done,signal_tracking_20260806.csv,12.0,2.31,6.59,16.53,8.55,-2.31,19.08,-2.31,1.0,-0.12,,19.08,-2.31,,,1.0,1.0
2026-07-30,2332.TW,友訊,24.0,週即將黃金交叉,78.0,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,done,signal_tracking_20260806.csv,12.0,-0.62,-5.42,-5.63,3.96,-13.96,3.96,-13.96,0.0,-11.46,,3.96,-13.96,,,0.0,0.0
2026-07-30,2357.TW,華碩,761.0,即將黃金交叉,65.0,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,done,signal_tracking_20260806.csv,12.0,5.91,7.49,23.13,12.88,0.79,23.13,0.79,1.0,6.44,,34.69,0.79,,,1.0,1.0
2026-07-30,2385.TW,群光,104.5,黃金交叉、趨勢突破,66.0,B可追蹤,-0.47,>MA5,空頭,46.0,44.9,13.7,22.6,0.6646,趨勢突破,1.18,done,signal_tracking_20260806.csv,12.0,-0.48,-0.96,1.44,3.35,-2.87,3.35,-3.35,0.0,1.44,,3.35,-3.35,,,0.0,0.0
2026-07-30,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,done,signal_tracking_20260806.csv,12.0,-2.85,-2.49,-3.2,0.0,-3.2,0.0,-3.91,0.0,-0.71,,0.0,-3.91,,,0.0,0.0
2026-07-30,2504.TW,國產,31.8,黃金交叉、週即將黃金交叉、趨勢突破,94.0,A強勢追蹤,-0.17,>MA5,糾結,58.6,54.4,19.6,20.9,0.1428,趨勢突破,0.94,done,signal_tracking_20260806.csv,12.0,-3.3,-4.4,-2.04,1.26,-5.03,1.26,-5.19,0.0,-1.89,,1.26,-5.19,,,0.0,0.0
2026-07-30,2520.TW,冠德,35.1,黃金交叉,70.0,B可追蹤,0.3,>MA5,糾結,40.9,40.2,71.2,70.1,-0.1767,-,-,done,signal_tracking_20260806.csv,12.0,-2.85,-2.85,0.57,1.71,-3.42,1.71,-5.13,0.0,-1.28,,2.42,-5.13,,,0.0,0.0
